code,term
11311361000119103,Secondary osteoporotic fracture of thoracic vertebra
11311441000119109,Secondary osteoporotic fracture of lumbar vertebra
11311521000119104,Secondary osteoporotic fracture of cervical vertebra
11311601000119109,Osteoporotic fracture of vertebra
11311801000119105,Secondary osteoporotic fracture of vertebra
125607007,Fracture of thoracic spine
202831001,Fatigue fracture of vertebra
203450003,Osteoporotic fracture of lumbar vertebra
203451004,Osteoporotic fracture of thoracic vertebra
203452006,Osteoporotic fracture of cervical vertebra
207904007,"Closed fracture cervical vertebra, wedge"
207938004,Closed fracture thoracic vertebra
207940009,"Closed fracture thoracic vertebra, wedge"
207959006,"Closed fracture lumbar vertebra, wedge"
240198002,Osteoporotic vertebral collapse
308756007,Collapse of thoracic vertebra
311806008,Osteoporotic collapse of cervical vertebra
311890007,Osteoporotic collapse of lumbar vertebra
311891006,Osteoporotic collapse of thoracic vertebra
389309000,H/O: vertebral fracture
390044001,H/O: vertebral fracture
391094005,History of vertebral fracture
